TERRITORIO,TERRITORIO_CODE,TIME_PERIOD,TIME_PERIOD_CODE,SEXO,SEXO_CODE,SECTOR_EJECUCION,SECTOR_EJECUCION_CODE,MEDIDAS,MEDIDAS_CODE,OBS_VALUE,CONFIDENCIALIDAD_OBSERVACION,CONFIDENCIALIDAD_OBSERVACION_CODE,ESTADO_OBSERVACION,NOTAS_OBSERVACION
Principado de Asturias,ES12,2021,2021,Total,_T,Total,_T,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,2391.5,,,,
Principado de Asturias,ES12,2021,2021,Hombres,M,Total,_T,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,1483.3,,,,
Principado de Asturias,ES12,2021,2021,Mujeres,F,Total,_T,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,908.2,,,,
Principado de Asturias,ES12,2022,2022,Total,_T,Total,_T,"Personal empleado en actividades de I+D, en equivalencia a jornada completa (EJC)",PERSONAL_EJC,3618.3,,,,
Principado de Asturias,ES12,2022,2022,Hombres,M,Total,_T,"Personal empleado en actividades de I+D, en equivalencia a jornada completa (EJC)",PERSONAL_EJC,2224.7,,,,
Principado de Asturias,ES12,2022,2022,Mujeres,F,Total,_T,"Personal empleado en actividades de I+D, en equivalencia a jornada completa (EJC)",PERSONAL_EJC,1393.6,,,,
Principado de Asturias,ES12,2022,2022,Total,_T,Total,_T,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,2408.3,,,,
Principado de Asturias,ES12,2022,2022,Hombres,M,Total,_T,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,1481.5,,,,
Principado de Asturias,ES12,2022,2022,Mujeres,F,Total,_T,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,926.8,,,,
Principado de Asturias,ES12,2023,2023,Total,_T,Total,_T,"Personal empleado en actividades de I+D, en equivalencia a jornada completa (EJC)",PERSONAL_EJC,4714.6,,,,
Principado de Asturias,ES12,2023,2023,Hombres,M,Total,_T,"Personal empleado en actividades de I+D, en equivalencia a jornada completa (EJC)",PERSONAL_EJC,2843.4,,,,
Principado de Asturias,ES12,2023,2023,Mujeres,F,Total,_T,"Personal empleado en actividades de I+D, en equivalencia a jornada completa (EJC)",PERSONAL_EJC,1871.2,,,,
Principado de Asturias,ES12,2023,2023,Total,_T,Total,_T,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,3363.9,,,,
Principado de Asturias,ES12,2023,2023,Hombres,M,Total,_T,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,1999.1,,,,
Principado de Asturias,ES12,2023,2023,Mujeres,F,Total,_T,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,1364.8,,,,
Cantabria,ES13,2021,2021,Total,_T,Total,_T,"Personal empleado en actividades de I+D, en equivalencia a jornada completa (EJC)",PERSONAL_EJC,2160.1,,,,
Cantabria,ES13,2021,2021,Hombres,M,Total,_T,"Personal empleado en actividades de I+D, en equivalencia a jornada completa (EJC)",PERSONAL_EJC,1313.4,,,,
Cantabria,ES13,2021,2021,Mujeres,F,Total,_T,"Personal empleado en actividades de I+D, en equivalencia a jornada completa (EJC)",PERSONAL_EJC,846.7,,,,
Cantabria,ES13,2021,2021,Total,_T,Total,_T,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,1382.3,,,,
Cantabria,ES13,2021,2021,Hombres,M,Total,_T,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,853.7,,,,
Cantabria,ES13,2021,2021,Mujeres,F,Total,_T,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,528.6,,,,
Cantabria,ES13,2022,2022,Total,_T,Total,_T,"Personal empleado en actividades de I+D, en equivalencia a jornada completa (EJC)",PERSONAL_EJC,2260.5,,,,
Cantabria,ES13,2022,2022,Hombres,M,Total,_T,"Personal empleado en actividades de I+D, en equivalencia a jornada completa (EJC)",PERSONAL_EJC,1329.8,,,,
Cantabria,ES13,2022,2022,Mujeres,F,Total,_T,"Personal empleado en actividades de I+D, en equivalencia a jornada completa (EJC)",PERSONAL_EJC,930.7,,,,
Cantabria,ES13,2022,2022,Total,_T,Total,_T,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,1437,,,,
Cantabria,ES13,2022,2022,Hombres,M,Total,_T,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,853.2,,,,
